n,side,lots,conf,threshold,cal_p,open_time,close_time,entry,exit,pips,gross,commission,slippage,swap,usd,reason,equity
48,BUY,0.17,36.0,45.5,0.45,2026-02-20 08:00,2026-02-20 20:00,1.17675,1.17807,12.5,22.52,1.19,0.85,0.0,21.33,session flatten,99837.79
49,BUY,0.14,38.4,45.4,0.463,2026-02-23 08:00,2026-02-23 20:00,1.18014,1.17839,-18.1,-24.43,0.98,0.7,0.0,-25.41,session flatten,99812.38
50,BUY,0.1,37.4,45.4,0.452,2026-03-04 08:00,2026-03-04 20:00,1.16093,1.16309,21.0,21.67,0.7,0.48,0.0,20.97,session flatten,99833.35
51,BUY,0.1,38.9,44.9,0.465,2026-03-05 08:00,2026-03-05 20:00,1.16233,1.16067,-17.3,-16.59,0.7,0.54,0.0,-17.29,session flatten,99816.07
52,BUY,0.08,35.8,45.3,0.455,2026-03-09 08:00,2026-03-09 20:00,1.15558,1.16357,79.2,63.94,0.56,0.42,0.0,63.38,session flatten,99879.44
53,BUY,0.09,42.7,44.9,0.467,2026-03-10 08:00,2026-03-10 20:00,1.16519,1.16092,-43.4,-38.47,0.63,0.45,0.0,-39.1,session flatten,99840.34
54,BUY,0.1,40.3,44.9,0.457,2026-03-12 08:00,2026-03-12 20:00,1.15603,1.15107,-50.3,-49.6,0.7,0.45,0.0,-50.3,session flatten,99790.04
55,BUY,0.11,36.0,44.9,0.447,2026-03-13 12:00,2026-03-13 20:00,1.1487,1.14151,-72.5,-79.03,0.77,0.55,0.0,-79.8,session flatten,99710.24
56,BUY,0.09,33.8,49.3,0.438,2026-03-25 08:00,2026-03-25 20:00,1.16006,1.15595,-41.8,-37.01,0.63,0.42,0.0,-37.64,session flatten,99672.6
57,BUY,0.13,28.3,49.3,0.429,2026-03-31 08:00,2026-03-31 20:00,1.14689,1.15544,84.8,111.13,0.91,0.61,0.0,110.22,session flatten,99782.82
58,BUY,0.11,33.0,48.9,0.44,2026-04-08 12:00,2026-04-08 20:00,1.16944,1.16645,-30.6,-32.85,0.77,0.57,0.0,-33.62,session flatten,99749.2
59,BUY,0.14,35.3,49.3,0.431,2026-04-14 12:00,2026-04-14 20:00,1.17984,1.17911,-8.0,-10.23,0.98,0.64,0.0,-11.21,session flatten,99737.99
60,BUY,0.16,34.7,49.3,0.423,2026-04-16 08:00,2026-04-16 20:00,1.17802,1.17796,-1.3,-0.88,1.12,0.8,0.0,-2.0,session flatten,99735.99
61,BUY,0.16,35.2,49.3,0.415,2026-04-21 08:00,2026-04-21 20:00,1.17602,1.17396,-21.3,-32.91,1.12,0.83,0.0,-34.03,session flatten,99701.96
62,BUY,0.16,28.3,50.1,0.407,2026-04-24 08:00,2026-04-24 20:00,1.16871,1.17186,30.8,50.37,1.12,0.75,0.0,49.25,session flatten,99751.21
63,BUY,0.17,31.9,49.3,0.418,2026-04-28 12:00,2026-04-28 20:00,1.16986,1.17122,13.0,23.23,1.19,0.82,0.0,22.04,session flatten,99773.25
64,BUY,0.19,36.1,45.3,0.429,2026-04-29 08:00,2026-04-29 20:00,1.16981,1.1674,-24.9,-45.9,1.33,0.96,0.0,-47.23,session flatten,99726.02
65,BUY,0.16,40.0,46.1,0.421,2026-05-12 12:00,2026-05-12 20:00,1.17293,1.17357,5.7,10.18,1.12,0.78,0.0,9.06,session flatten,99735.08
66,BUY,0.17,42.1,45.3,0.431,2026-05-13 08:00,2026-05-13 20:00,1.17069,1.17139,6.3,11.95,1.19,0.88,0.0,10.76,session flatten,99745.84
67,BUY,0.2,44.3,42.3,0.441,2026-05-14 08:00,2026-05-14 20:00,1.17078,1.1669,-39.5,-77.66,1.4,0.96,0.0,-79.06,session flatten,99666.78
68,BUY,0.18,36.0,45.3,0.433,2026-05-15 08:00,2026-05-15 20:00,1.1627,1.16233,-4.3,-6.57,1.26,0.9,0.0,-7.83,session flatten,99658.95
69,BUY,0.17,33.0,46.2,0.426,2026-05-18 12:00,2026-05-18 20:00,1.16544,1.16577,2.6,5.62,1.19,0.93,0.0,4.43,session flatten,99663.38
70,BUY,0.17,35.2,45.3,0.435,2026-05-19 08:00,2026-05-19 20:00,1.16201,1.16066,-14.2,-22.88,1.19,0.87,0.0,-24.07,session flatten,99639.3
71,BUY,0.15,31.2,45.3,0.429,2026-05-25 08:00,2026-05-25 20:00,1.16421,1.1639,-3.8,-4.65,1.05,0.68,0.0,-5.7,session flatten,99633.6
72,BUY,0.15,29.7,49.2,0.422,2026-06-08 08:00,2026-06-08 20:00,1.15133,1.15354,21.5,33.24,1.05,0.73,0.0,32.19,session flatten,99665.79
73,BUY,0.16,33.9,44.8,0.431,2026-06-09 08:00,2026-06-09 20:00,1.15619,1.15372,-25.3,-39.44,1.12,0.8,0.0,-40.56,session flatten,99625.24
74,BUY,0.13,37.0,45.2,0.424,2026-06-18 08:00,2026-06-18 20:00,1.14838,1.14609,-23.6,-29.73,0.91,0.68,0.0,-30.64,session flatten,99594.59
75,BUY,0.14,26.8,49.3,0.418,2026-06-22 12:00,2026-06-22 20:00,1.14364,1.1427,-10.0,-13.08,0.98,0.69,0.0,-14.06,session flatten,99580.54
76,BUY,0.16,26.7,49.2,0.412,2026-06-25 08:00,2026-06-25 20:00,1.13625,1.13716,8.4,14.59,1.12,0.85,0.0,13.47,session flatten,99594.01
77,BUY,0.14,30.3,44.7,0.42,2026-06-26 08:00,2026-06-26 20:00,1.14065,1.13826,-24.5,-33.38,0.98,0.69,0.0,-34.36,session flatten,99559.65
78,BUY,0.19,30.0,48.7,0.414,2026-07-07 08:00,2026-07-07 20:00,1.14258,1.14063,-20.3,-37.15,1.33,0.96,0.0,-38.48,session flatten,99521.17
79,BUY,0.2,24.9,49.2,0.408,2026-07-24 12:00,2026-07-24 20:00,1.13716,1.13696,-2.6,-3.89,1.4,0.99,0.0,-5.29,session flatten,99515.88
80,BUY,0.15,25.4,49.8,0.403,2026-08-03 08:00,2026-08-03 20:00,1.15232,1.15108,-13.1,-18.62,1.05,0.69,0.0,-19.67,session flatten,99496.21
81,BUY,0.22,26.0,49.7,0.397,2026-08-06 08:00,2026-08-06 20:00,1.1539,1.15199,-19.8,-42.06,1.54,1.03,0.0,-43.6,session flatten,99452.61
82,BUY,0.24,20.0,50.6,0.392,2026-08-14 12:00,2026-08-14 20:00,1.15835,1.15695,-14.7,-33.53,1.68,1.25,0.0,-35.21,session flatten,99417.39
83,BUY,0.26,20.9,51.4,0.387,2026-08-19 08:00,2026-08-19 20:00,1.16072,1.16755,67.6,177.65,1.82,1.36,0.0,175.83,session flatten,99593.22
84,BUY,0.23,30.0,50.1,0.395,2026-08-20 08:00,2026-08-20 20:00,1.17077,1.16764,-32.0,-71.91,1.61,1.19,0.0,-73.52,session flatten,99519.7
85,BUY,0.27,30.1,50.1,0.39,2026-08-27 08:00,2026-08-27 20:00,1.16416,1.16514,9.2,26.62,1.89,1.33,0.0,24.73,session flatten,99544.43
86,BUY,0.35,35.0,46.0,0.397,2026-08-28 08:00,2026-08-28 16:00,1.16406,1.15777,-63.6,-220.19,2.45,2.31,0.0,-222.64,ATR stop,99321.79
87,BUY,0.2,19.9,46.0,0.392,2026-09-03 12:00,2026-09-03 20:00,1.16184,1.1626,6.9,15.24,1.4,1.06,0.0,13.84,session flatten,99335.64
88,BUY,0.21,27.6,45.2,0.4,2026-09-04 08:00,2026-09-04 20:00,1.16178,1.16123,-6.2,-11.58,1.47,0.97,0.0,-13.05,session flatten,99322.59
89,BUY,0.18,23.8,45.9,0.395,2026-09-14 08:00,2026-09-14 20:00,1.15426,1.15491,5.8,11.74,1.26,0.95,0.0,10.48,session flatten,99333.07
90,BUY,0.21,28.8,45.1,0.402,2026-09-15 08:00,2026-09-15 20:00,1.15381,1.15389,0.1,1.65,1.47,0.97,0.0,0.18,session flatten,99333.26
91,BUY,0.2,32.0,44.6,0.41,2026-09-16 08:00,2026-09-16 20:00,1.15398,1.14621,-78.4,-155.4,1.4,1.3,0.0,-156.8,session flatten,99176.45
92,BUY,0.17,25.9,44.7,0.405,2026-09-17 08:00,2026-09-17 20:00,1.14732,1.14763,2.4,5.25,1.19,0.78,0.0,4.06,session flatten,99180.52
93,BUY,0.18,31.7,44.6,0.412,2026-09-18 08:00,2026-09-18 20:00,1.14841,1.14856,0.8,2.68,1.26,0.83,0.0,1.42,session flatten,99181.94
